heat_load_W,pump_speed_rad_s,cpu_temp_K,flow_rate_kg_s,pump_pressure_in,pump_pressure_out
40,1,310.90445683699073,0.2279855574516007,149999.99999999997,148506.27400155546
40,6,311.4766570985628,0.21911082853649916,149999.99999999997,145233.34269295997
40,11,311.8271526600764,0.21397692821357078,149999.99999999997,143394.4690984443
40,16,311.896876686875,0.21298144471699182,149999.99999999997,143042.52574673688
40,21,311.71356407509745,0.21561676890653567,149999.99999999997,143977.49202383694
40,26,311.3313734716201,0.221304466391309,149999.99999999997,146031.23744972917
40,31,310.810655930973,0.2295024496919274,149999.99999999997,149077.62529613695
40,36,310.2151936807233,0.23957262736496332,149999.99999999997,152958.92394412294
40,41,309.60206734331604,0.25080634347347375,149999.99999999997,157469.6480502251
40,46,308.98886627537365,0.2630299825325785,149999.99999999997,162594.54570913038
65,1,321.99461656362644,0.22798555745160076,149999.99999999997,148506.27400155546
65,6,322.92493291672855,0.21911082853649919,149999.99999999997,145233.34269295997
65,11,323.4947641651091,0.21397692821357078,149999.99999999997,143394.4690984443
65,16,323.6081185456892,0.21298144471699187,149999.99999999997,143042.5257467369
65,21,323.3100952012949,0.21561676890653572,149999.99999999997,143977.49202383694
65,26,322.6887271533826,0.2213044663913089,149999.99999999997,146031.23744972915
65,31,321.842104453637,0.2295024496919274,149999.99999999997,149077.62529613698
65,36,320.87389668169294,0.23957262736496335,149999.99999999997,152958.92394412294
65,41,319.8768906777641,0.25080634347347375,149999.99999999997,157469.6480502251
65,46,318.87967135183317,0.2630299825325785,149999.99999999997,162594.54570913038
90,1,333.08477827742485,0.2279855574516007,149999.99999999997,148506.27400155546
90,6,334.3732114305927,0.21911082853649919,149999.99999999997,145233.34269295997
90,11,335.16237893802975,0.21397692821357076,149999.99999999997,143394.4690984443
90,16,335.3193637963589,0.21298144471699185,149999.99999999997,143042.5257467369
90,21,334.906629400767,0.2156167689065357,149999.99999999997,143977.49202383694
90,26,334.0460834263061,0.22130446639130893,149999.99999999997,146031.23744972915
90,31,332.873554847216,0.22950244969192735,149999.99999999997,149077.62529613695
90,36,331.5326009363292,0.23957262736496335,149999.99999999997,152958.92394412294
90,41,330.15171475740624,0.25080634347347375,149999.99999999997,157469.6480502251
90,46,328.7704768488928,0.2630299825325785,149999.99999999997,162594.54570913038
115,1,344.1749394966308,0.2279855574516007,149999.99999999997,148506.27400155546
115,6,345.8214884764093,0.21911082853649916,149999.99999999997,145233.34269295997
115,11,346.82999184574,0.21397692821357078,149999.99999999997,143394.4690984443
115,16,347.0306070930394,0.21298144471699182,149999.99999999997,143042.5257467369
115,21,346.5031618724755,0.21561676890653567,149999.99999999997,143977.49202383694
115,26,345.40343837369795,0.22130446639130893,149999.99999999997,146031.23744972915
115,31,343.90500477650085,0.22950244969192735,149999.99999999997,149077.62529613695
115,36,342.19130488582414,0.23957262736496335,149999.99999999997,152958.92394412294
115,41,340.42653867439907,0.25080634347347375,149999.99999999997,157469.6480502251
115,46,338.66128226750874,0.2630299825325785,149999.99999999997,162594.54570913038
150,1,359.7011644139693,0.22798555745160076,149999.99999999997,148506.27400155546
150,6,361.84907685953374,0.2191108285364991,149999.99999999997,145233.34269295997
150,11,363.1646505656264,0.21397692821357078,149999.99999999997,143394.4690984443
150,16,363.4263483865646,0.21298144471699182,149999.99999999997,143042.52574673688
150,21,362.7383079369373,0.21561676890653567,149999.99999999997,143977.49202383694
150,26,361.3037357722717,0.22130446639130893,149999.99999999997,146031.23744972915
150,31,359.3490339518162,0.22950244969192737,149999.99999999997,149077.62529613695
150,36,357.1134900041167,0.23957262736496332,149999.99999999997,152958.92394412294
150,41,354.8112919451716,0.2508063434734738,149999.99999999997,157469.6480502251
150,46,352.5084097536769,0.2630299825325785,149999.99999999997,162594.54570913038
