heat_load_W,pump_speed_rad_s,cpu_temp_K,flow_rate_kg_s,pump_pressure_in,pump_pressure_out,delta_p_Pa,volumetric_flow_m3s,pump_power_W
40,35,310.33646785450185,0.2374577135539121,149999.99999999997,152131.05744110965,2131.057441109675,0.0002374577135539121,0.5060360274179542
40,40,309.72514888884655,0.2484758002616112,149999.99999999997,156518.1704083633,6518.170408363338,0.0002484758002616112,1.6196076084596336
40,60,307.3571944554613,0.3014437543291939,149999.99999999997,180168.5207488036,30168.520748803625,0.0003014437543291939,9.09411215707755
40,80,305.3840383286514,0.3637461674321873,149999.99999999997,213402.62564876,63402.62564876003,0.0003637461674321873,23.06246208487416
40,100,303.83662483722304,0.4313777807741979,149999.99999999997,256096.7508613672,106096.75086136724,0.00043137778077419794,45.76778093392957
40,125,302.36920306541083,0.5202787668336879,149999.99999999997,322685.5930568563,172685.59305685633,0.0005202787668336879,89.84464740556527
40,150,301.27059363839305,0.6120833529271007,149999.99999999997,403919.2370193681,253919.23701936813,0.0006120833529271007,155.41973796750602
40,175,300.4271319484603,0.7056783084031527,149999.99999999997,499773.458489673,349773.458489673,0.0007056783084031527,246.82754251131277
40,200,299.7645235790447,0.8004444718465783,149999.99999999997,610232.2121178174,460232.21211781737,0.0008004444718465783,368.3903299554287
65,35,321.0710912535548,0.2374577135539121,149999.99999999997,152131.05744110965,2131.057441109675,0.0002374577135539121,0.5060360274179542
65,40,320.07704070979213,0.2484758002616112,149999.99999999997,156518.1704083633,6518.170408363338,0.0002484758002616112,1.6196076084596336
65,60,316.22557284376074,0.3014437543291939,149999.99999999997,180168.5207488036,30168.520748803625,0.0003014437543291939,9.09411215707755
65,80,313.0142175025373,0.3637461674321873,149999.99999999997,213402.62564876,63402.62564876003,0.0003637461674321873,23.06246208487416
65,100,310.4932774139387,0.4313777807741979,149999.99999999997,256096.7508613672,106096.75086136724,0.00043137778077419794,45.76778093392957
65,125,308.0987458055829,0.5202787668336879,149999.99999999997,322685.5930568563,172685.59305685633,0.0005202787668336879,89.84464740556527
65,150,306.3013412979914,0.6120833529271007,149999.99999999997,403919.237019368,253919.237019368,0.0006120833529271007,155.41973796750597
65,175,304.91636253058255,0.7056783084031527,149999.99999999997,499773.458489673,349773.458489673,0.0007056783084031527,246.82754251131277
65,200,303.8230834791155,0.8004444718465783,149999.99999999997,610232.2121178174,460232.21211781737,0.0008004444718465783,368.3903299554287
90,35,331.8057160162676,0.2374577135539121,149999.99999999997,152131.05744110965,2131.057441109675,0.0002374577135539121,0.5060360274179542
90,40,330.4289333620856,0.2484758002616112,149999.99999999997,156518.1704083633,6518.170408363338,0.0002484758002616112,1.6196076084596336
90,60,325.093951302915,0.3014437543291939,149999.99999999997,180168.5207488036,30168.520748803625,0.0003014437543291939,9.09411215707755
90,80,320.64439667043274,0.3637461674321873,149999.99999999997,213402.62564876,63402.62564876003,0.0003637461674321873,23.06246208487416
90,100,317.1499299906622,0.4313777807741979,149999.99999999997,256096.75086136724,106096.75086136727,0.00043137778077419794,45.767780933929586
90,125,313.8282885457541,0.5202787668336879,149999.99999999997,322685.5930568563,172685.59305685633,0.0005202787668336879,89.84464740556527
90,150,311.33208895758946,0.6120833529271007,149999.99999999997,403919.2370193681,253919.23701936813,0.0006120833529271007,155.41973796750602
90,175,309.40559311270454,0.7056783084031526,149999.99999999997,499773.4584896732,349773.4584896732,0.0007056783084031526,246.82754251131288
90,200,307.8816433791861,0.8004444718465783,149999.99999999997,610232.2121178174,460232.21211781737,0.0008004444718465783,368.3903299554287
115,35,342.54034044571534,0.2374577135539121,149999.99999999997,152131.05744110965,2131.057441109675,0.0002374577135539121,0.5060360274179542
115,40,340.78082582810305,0.2484758002616111,149999.99999999997,156518.1704083633,6518.170408363338,0.0002484758002616111,1.6196076084596327
115,60,333.9623297628319,0.3014437543291939,149999.99999999997,180168.5207488036,30168.520748803625,0.0003014437543291939,9.09411215707755
115,80,328.27457584467766,0.3637461674321873,149999.99999999997,213402.62564876,63402.62564876003,0.0003637461674321873,23.06246208487416
115,100,323.8065825670655,0.4313777807741979,149999.99999999997,256096.75086136724,106096.75086136727,0.00043137778077419794,45.767780933929586
115,125,319.5578312859246,0.5202787668336879,149999.99999999997,322685.5930568563,172685.59305685633,0.0005202787668336879,89.84464740556527
115,150,316.36283661718704,0.6120833529271007,149999.99999999997,403919.2370193681,253919.23701936813,0.0006120833529271007,155.41973796750602
115,175,313.89482369482624,0.7056783084031527,149999.99999999997,499773.458489673,349773.458489673,0.0007056783084031527,246.82754251131277
115,200,311.9402032792565,0.8004444718465783,149999.99999999997,610232.2121178174,460232.21211781737,0.0008004444718465783,368.3903299554287
150,35,357.56881418318216,0.2374577135539122,149999.99999999997,152131.05744110965,2131.057441109675,0.00023745771355391222,0.5060360274179544
150,40,355.2734750357846,0.2484758002616112,149999.99999999997,156518.1704083633,6518.170408363338,0.0002484758002616112,1.6196076084596336
150,60,346.3780595775721,0.3014437543291939,149999.99999999997,180168.5207488036,30168.520748803625,0.0003014437543291939,9.09411215707755
150,80,338.95682668835724,0.3637461674321873,149999.99999999997,213402.62564876,63402.62564876003,0.0003637461674321873,23.06246208487416
150,100,333.1258961743997,0.4313777807741979,149999.99999999997,256096.7508613672,106096.75086136724,0.00043137778077419794,45.76778093392957
150,125,327.57919112215575,0.5202787668336879,149999.99999999997,322685.5930568563,172685.59305685633,0.0005202787668336879,89.84464740556527
150,150,323.4058833406233,0.6120833529271007,149999.99999999997,403919.237019368,253919.237019368,0.0006120833529271007,155.41973796750597
150,175,320.1797465097964,0.7056783084031527,149999.99999999997,499773.458489673,349773.458489673,0.0007056783084031527,246.82754251131277
150,200,317.6221871393549,0.8004444718465782,149999.99999999997,610232.2121178173,460232.21211781725,0.0008004444718465782,368.39032995542857
